,date,1. open,2. high,3. low,4. close,5. volume
SFM,2017-09-29,19.99,20.71,18.475,18.77,64658487.0
SFM,2017-08-31,24.18,24.64,19.2,19.94,73040009.0
SFM,2017-07-31,22.71,24.92,22.23,24.07,43467569.0
SFM,2017-06-30,23.94,25.98,19.3,22.67,70160118.0
SFM,2017-05-31,22.34,24.41,22.02,23.96,44260308.0
SFM,2017-04-28,23.01,23.89,21.0,22.31,61300770.0
SFM,2017-03-31,18.64,23.67,17.38,23.12,101977038.0
SFM,2017-02-28,18.91,19.86,17.59,18.46,57782976.0
SFM,2017-01-31,19.1,20.4,17.96,18.67,55948853.0
SFM,2016-12-30,19.9,21.25,18.88,18.92,44521836.0
SFM,2016-11-30,22.13,22.63,19.72,20.01,66530697.0
SFM,2016-10-31,20.45,22.36,20.45,22.15,49636433.0
SFM,2016-09-30,22.47,23.08,18.7,20.65,69106513.0
SFM,2016-08-31,23.24,24.52,22.0,22.53,53270051.0
SFM,2016-07-29,23.0,24.4255,22.05,23.13,55767312.0
SFM,2016-06-30,24.79,25.45,21.095,22.9,49473826.0
SFM,2016-05-31,28.03,28.78,23.855,24.76,51501260.0
SFM,2016-04-29,28.78,29.37,27.19,28.07,28242038.0
SFM,2016-03-31,28.65,30.0,26.83,29.04,37248447.0
SFM,2016-02-29,22.93,28.6,21.18,28.48,76808260.0
SFM,2016-01-29,25.99,27.85,21.25,22.8,54518329.0
SFM,2015-12-31,24.34,27.34,23.85,26.59,28564665.0
SFM,2015-11-30,20.28,24.985,19.75,24.13,43775465.0
SFM,2015-10-30,21.08,23.87,19.9299,20.38,37140410.0
SFM,2015-09-30,19.99,23.98,19.92,21.1,37286220.0
SFM,2015-08-31,24.45,24.765,16.41,20.37,59186709.0
SFM,2015-07-31,27.25,27.43,22.12,24.52,44969955.0
SFM,2015-06-30,29.98,30.66,26.94,26.98,39957872.0
SFM,2015-05-29,32.2,32.42,26.975,29.99,53775317.0
SFM,2015-04-30,35.05,36.13,31.9,31.985,28957737.0
SFM,2015-03-31,35.81,36.97,32.71,35.23,36260351.0
SFM,2015-02-27,36.41,38.45,35.19,36.81,20369788.0
SFM,2015-01-30,33.99,36.98,32.59,36.41,25571375.0
SFM,2014-12-31,32.01,33.98,29.44,33.98,19046415.0
